% Model:              2d.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 14:46
% Dimension:          2
% Nodes:              21311
% Expressions:        3
% Description:        Velocity field, r component, Velocity field, z component, Pressure
% Length unit:        m
% r                       z                        u (m/s)                  w (m/s)                  p (Pa)
0                         0.0076                   0                        11.037330383673492       0.9953079618713537
0                         0.0077                   -5.487430937746013E-17   11.400136763339464       0.995025689489917
0                         0.0078000000000000005    0                        11.796226708127486       0.994682043615693
0                         0.0079                   0                        12.198036804696441       0.9943278500224135
0                         0.008                    0                        12.599846901265396       0.9939736564291343
0                         0.0081                   -6.606651270036453E-17   13.015410843504544       0.9935822897523585
0                         0.0082                   0                        13.44965950725095        0.9931404231114744
0                         0.0083                   0                        13.883908170997348       0.9926985564705904
0                         0.008400000000000001     0                        14.318156834743753       0.9922566898297062
0                         0.0085                   0                        14.77097049164941        0.9917129273089655
0                         0.0086                   0                        15.22388400563614        0.9911686167123355
0                         0.008700000000000001     0                        15.676797519622882       0.9906243061157056
0                         0.0088                   0                        16.127922797483276       0.9900220987438405
0                         0.0089                   0                        16.577675541586558       0.9893754535724766
0                         0.009000000000000001     0                        17.027428285689844       0.9887288084011128
0                         0.0091                   0                        17.471804218771016       0.9880580434197671
0                         0.0092                   0                        17.88826859786097        0.9872620701363644
0                         0.009300000000000001     0                        18.304732976950934       0.9864660968529617
0                         0.0094                   0                        18.72119735604089        0.985670123569559
0                         0.0095                   0                        19.083372383594437       0.9848916871413353
0                         0.009600000000000001     0                        19.43637899904125        0.9841162123457482
0                         0.0097                   9.295036104100134E-17    19.789385614488058       0.9833407375501612
0                         0.0098                   0                        20.080802056113527       0.9823965607117396
0                         0.0099                   0                        20.35588177098766        0.9814076358395786
0                         0.01                     0                        20.630961485861793       0.9804187109674176
0                         0.010100000000000001     0                        20.80333666028377        0.9793470577508339
0                         0.0102                   -1.3313889978917742E-17  20.975711834705745       0.97827540453425
0                         0.0103                   0                        21.098225948938204       0.9772319222475716
0                         0.010400000000000001     0                        21.176694221411147       0.9762133253587588
0                         0.0105                   4.691485033605294E-14    21.255162493884036       0.9751947284699464
0                         0.0106                   0                        21.229931545629398       0.9742943556680161
0                         0.010700000000000001     0                        21.204700597374817       0.9733939828660857
0                         0.0108                   1.3524058484592346E-17   21.133330536754677       0.9724076477062557
0                         0.0109                   1.3524058484592346E-17   21.00972977814279        0.9713240008790807
0                         0.011000000000000001     5.534409936709417E-16    20.886129019530905       0.9702403540519057
0                         0.0111                   0                        20.654617752173046       0.9692076832059705
0                         0.0112                   0                        20.423106484815193       0.9681750123600354
0                         0.011300000000000001     0                        20.172766471518248       0.9671916888591826
0                         0.0114                   0                        19.853801199513832       0.9663882219634248
0                         0.0115                   0                        19.53483592750942        0.965584755067667
0                         0.011600000000000001     0                        19.20452402491395        0.9647801367225839
0                         0.0117                   0                        18.813277903805645       0.96396933480924
0                         0.0118                   0                        18.42203178269733        0.963158532895896
0                         0.0119                   0                        18.030785661589015       0.9623477309825521
0                         0.012                    1.348446685993622E-16    17.602722223794466       0.9616525466896297
0                         0.012100000000000001     6.74223342996811E-17     17.168573045034755       0.9609764734822567
0                         0.0122                   6.74223342996811E-17     16.73442386627505        0.9603004002748837
0                         0.0123                   7.033759502969776E-17    16.294376623891626       0.9596740133235748
0                         0.012400000000000001     0                        15.847430170790123       0.9591057464557788
0                         0.0125                   0                        15.400483717688632       0.9585374795879831
0                         0.0126                   6.780733491636037E-17    14.954004099661528       0.9579732855222101
0                         0.012700000000000001     0                        14.519114692091897       0.9575102077503662
0                         0.0128                   0                        14.084225284522272       0.9570471299785224
0                         0.0129                   0                        13.649335876952652       0.9565840522066786
0                         0.013000000000000001     0                        13.231624997165767       0.9561774754122035
0                         0.0131                   0                        12.824620731394862       0.9558061131695148
0                         0.0132                   0                        12.417616465623958       0.9554347509268258
0                         0.013300000000000001     0                        12.017728111172035       0.9550791590670726
0                         0.0134                   0                        11.647522737394217       0.9547893510473535
0                         0.0135                   0                        11.277317363616401       0.9544995430276345
0                         0.013600000000000001     0                        10.907111989838578       0.9542097350079154
0                         0.0137                   0                        10.570251356267404       0.9539733077784462
0                         0.013800000000000002     0                        10.238957123492476       0.9537457916657379
0                         0.013900000000000001     -9.337910839895223E-17   9.907662890717555        0.9535182755530298
0                         0.014                    0                        9.605526821937751        0.9533213781263525
0                         0.014100000000000001     0                        9.310168425381221        0.9531315978630831
0                         0.0142                   0                        9.015536153441769        0.9529424744504885
0                         0.0143                   0                        8.753921403359353        0.9527832186129739
0                         0.014400000000000001     0                        8.492306653276934        0.9526239627754594
0                         0.0145                   0                        8.230691903194518        0.9524647069379447
0                         0.0146                   0                        8.000405411088845        0.9523286597400127
0                         0.014700000000000001     0                        7.771507433835456        0.9521936411834047
0                         0.0148                   0                        7.542609456582069        0.9520586226267966
0                         0.0149                   0                        7.33297560290692         0.9519409367222735
0                         0.015000000000000001     0                        7.1357561548099095       0.9518344205225056
0                         0.0151                   0                        6.938536706712901        0.9517279043227372
0                         0.0152                   2.5869296517164548E-17   6.746587110576896        0.9516252819751894
0                         0.015300000000000001     0                        6.577785759184168        0.9515397636838576
0                         0.0154                   0                        6.408984407791445        0.9514542453925259
0                         0.0155                   0                        6.240183056398721        0.9513687271011941
0                         0.015600000000000001     2.2205365970740143E-17   6.090231310034787        0.951293888058821
0                         0.015700000000000002     0                        5.9461420967617675       0.9512223704361968
0                         0.0158                   0                        5.80205288348875         0.9511508528135728
0                         0.0159                   -3.796710455330345E-17   5.665183700021708        0.9510832626055232
0                         0.016                    -3.796710455330345E-17   5.5423239915039435       0.9510232930053624
0                         0.0161                   0                        5.419464282986181        0.9509633234052017
0                         0.0162                   0                        5.296604574468417        0.9509033538050412
0                         0.016300000000000002     0                        5.190480619166169        0.9508514152701952
0                         0.0164                   0                        5.085863080694578        0.9508001996267426
0                         0.0165                   0                        4.981245542222987        0.9507489839832901
0                         0.0166                   0                        4.884336030530073        0.9507010232512615
0                         0.0167                   0                        4.79529818720763         0.9506563865325037
0                         0.016800000000000002     0                        4.706260343885184        0.9506117498137459
0                         0.016900000000000002     0                        4.618176943047349        0.9505674680935603
0                         0.017                    0                        4.5423813960535036       0.9505277567593748
0                         0.0171                   0                        4.46658584905966         0.9504880454251894
0                         0.0172                   0                        4.390790302065815        0.950448334091004
0                         0.0173                   0                        4.322259887072561        0.9504109303158874
0                         0.017400000000000002     0                        4.257651752475795        0.9503747723397047
0                         0.0175                   0                        4.193043617879031        0.9503386143635218
0                         0.0176                   0                        4.130558083655944        0.9503030149087998
0                         0.0177                   0                        4.0753117707337845       0.9502693203159185
0                         0.0178                   0                        4.020065457811626        0.9502356257230371
0                         0.0179                   0                        3.964819144889466        0.9502019311301557
0                         0.018000000000000002     0                        3.9157812971772246       0.9501694587038485
0                         0.0181                   0                        3.868256413529406        0.9501372841118763
0                         0.0182                   0                        3.820731529881586        0.950105109519904
0                         0.0183                   6.372010862743478E-18    3.775573704734475        0.950073199021983
0                         0.0184                   0                        3.7342553252732067       0.9500417168931812
0                         0.018500000000000003     0                        3.6929369458119377       0.9500102347643794
0                         0.018600000000000002     0                        3.651618566350669        0.9499787526355775
0                         0.0187                   1.1271490221170796E-17   3.6148619812649656       0.9499470609173424
0                         0.0188                   0                        3.5783018619209304       0.9499153601725837
0                         0.0189                   5.635745110585398E-18    3.5417417425768956       0.9498836594278252
0                         0.019                    0                        3.506960681729456        0.9498515026154863
0                         0.019100000000000002     0                        3.4737194682394374       0.9498189510581405
0                         0.019200000000000002     0                        3.440478254749421        0.9497863995007949
0                         0.0193                   0                        3.4074456669256015       0.9497536786332592
0                         0.0194                   0                        3.3760447586620064       0.9497196335759381
0                         0.0195                   4.8199399445269335E-18   3.3446438503984117       0.9496855885186173
0                         0.0196                   0                        3.3132429421348166       0.9496515434612963
0                         0.019700000000000002     4.803778854816505E-18    3.2820455693680386       0.9496157576217671
0                         0.0198                   4.803778854816505E-18    3.2509393446471115       0.9495791922184811
0                         0.0199                   0                        3.219833119926185        0.949542626815195
0                         0.02                     0                        3.1883364805346415       0.9495048787600583
0                         0.0201                   0                        3.155773586976544        0.9494639007866874
